threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.35000000000000003,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.36000000000000004,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.37,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.38,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.39,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.4,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.41000000000000003,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.42000000000000004,100,14,23,71065,0.8771929824561403,0.8130081300813008,2300.0,70.0,2370.0
0.43,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.44,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.45,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.46,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.47000000000000003,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.48000000000000004,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.49,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.5,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.51,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.52,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.53,100,13,23,71066,0.8849557522123894,0.8130081300813008,2300.0,65.0,2365.0
0.54,100,12,23,71067,0.8928571428571429,0.8130081300813008,2300.0,60.0,2360.0
0.55,100,12,23,71067,0.8928571428571429,0.8130081300813008,2300.0,60.0,2360.0
0.56,100,12,23,71067,0.8928571428571429,0.8130081300813008,2300.0,60.0,2360.0
0.5700000000000001,100,12,23,71067,0.8928571428571429,0.8130081300813008,2300.0,60.0,2360.0
0.5800000000000001,100,12,23,71067,0.8928571428571429,0.8130081300813008,2300.0,60.0,2360.0
