threshold,tp,fp,fn,tn,precision,recall,fraud_missed_cost,review_cost,total_cost
0.7000000000000001,108,745,15,70334,0.12661195779601406,0.8780487804878049,1500.0,3725.0,5225.0
0.7100000000000001,108,716,15,70363,0.13106796116504854,0.8780487804878049,1500.0,3580.0,5080.0
0.72,108,688,15,70391,0.135678391959799,0.8780487804878049,1500.0,3440.0,4940.0
0.73,108,652,15,70427,0.14210526315789473,0.8780487804878049,1500.0,3260.0,4760.0
0.74,108,633,15,70446,0.145748987854251,0.8780487804878049,1500.0,3165.0,4665.0
0.75,108,612,15,70467,0.15,0.8780487804878049,1500.0,3060.0,4560.0
0.76,108,587,15,70492,0.1553956834532374,0.8780487804878049,1500.0,2935.0,4435.0
0.77,108,566,15,70513,0.16023738872403562,0.8780487804878049,1500.0,2830.0,4330.0
0.78,108,549,15,70530,0.1643835616438356,0.8780487804878049,1500.0,2745.0,4245.0
0.79,107,529,16,70550,0.16823899371069181,0.8699186991869918,1600.0,2645.0,4245.0
0.8,107,512,16,70567,0.172859450726979,0.8699186991869918,1600.0,2560.0,4160.0
0.81,106,490,17,70589,0.17785234899328858,0.8617886178861789,1700.0,2450.0,4150.0
0.8200000000000001,106,468,17,70611,0.18466898954703834,0.8617886178861789,1700.0,2340.0,4040.0
0.8300000000000001,106,447,17,70632,0.19168173598553345,0.8617886178861789,1700.0,2235.0,3935.0
0.8400000000000001,106,425,17,70654,0.19962335216572505,0.8617886178861789,1700.0,2125.0,3825.0
0.85,106,408,17,70671,0.20622568093385213,0.8617886178861789,1700.0,2040.0,3740.0
0.86,106,389,17,70690,0.21414141414141413,0.8617886178861789,1700.0,1945.0,3645.0
0.87,105,370,18,70709,0.22105263157894736,0.8536585365853658,1800.0,1850.0,3650.0
0.88,105,352,18,70727,0.22975929978118162,0.8536585365853658,1800.0,1760.0,3560.0
0.89,105,325,18,70754,0.2441860465116279,0.8536585365853658,1800.0,1625.0,3425.0
0.9,105,302,18,70777,0.257985257985258,0.8536585365853658,1800.0,1510.0,3310.0
0.91,105,277,18,70802,0.27486910994764396,0.8536585365853658,1800.0,1385.0,3185.0
0.92,105,242,18,70837,0.3025936599423631,0.8536585365853658,1800.0,1210.0,3010.0
0.93,105,212,18,70867,0.3312302839116719,0.8536585365853658,1800.0,1060.0,2860.0
0.9400000000000001,105,181,18,70898,0.36713286713286714,0.8536585365853658,1800.0,905.0,2705.0
0.9500000000000001,105,151,18,70928,0.41015625,0.8536585365853658,1800.0,755.0,2555.0
0.9600000000000001,105,120,18,70959,0.4666666666666667,0.8536585365853658,1800.0,600.0,2400.0
0.97,105,102,18,70977,0.5072463768115942,0.8536585365853658,1800.0,510.0,2310.0
0.98,103,82,20,70997,0.5567567567567567,0.8373983739837398,2000.0,410.0,2410.0
0.99,101,66,22,71013,0.6047904191616766,0.8211382113821138,2200.0,330.0,2530.0
